,index,y,lables
8976,8976,0.346205,2
8977,8977,0.344924,2
8978,8978,0.342362,2
8979,8979,0.339799,2
8980,8980,0.338518,2
8981,8981,0.34108,2
8982,8982,0.339799,2
8983,8983,0.344924,2
8984,8984,0.342362,2
8985,8985,0.34108,2
8986,8986,0.339799,2
8987,8987,0.34108,2
8988,8988,0.34108,2
8989,8989,0.34108,2
8990,8990,0.34108,2
8991,8991,0.339799,2
8992,8992,0.339799,2
8993,8993,0.342362,2
8994,8994,0.339799,2
8995,8995,0.343643,2
8996,8996,0.34108,2
8997,8997,0.34108,2
8998,8998,0.339799,2
8999,8999,0.34108,2
9000,9000,0.34108,2
9001,9001,0.34108,2
9002,9002,0.34108,2
9003,9003,0.34108,2
9004,9004,0.34108,2
9005,9005,0.342362,2
9006,9006,0.34108,2
9007,9007,0.342362,2
9008,9008,0.342362,2
9009,9009,0.342362,2
9010,9010,0.342362,2
9011,9011,0.34108,2
9012,9012,0.34108,2
9013,9013,0.34108,2
9014,9014,0.343643,2
9015,9015,0.344924,2
9016,9016,0.347487,2
9017,9017,0.346205,2
9018,9018,0.346205,2
9019,9019,0.343643,2
9020,9020,0.34108,2
9021,9021,0.339799,2
9022,9022,0.34108,2
9023,9023,0.34108,2
9024,9024,0.342362,2
9025,9025,0.34108,2
9026,9026,0.342362,2
9027,9027,0.342362,2
9028,9028,0.344924,2
9029,9029,0.344924,2
9030,9030,0.342362,2
9031,9031,0.343643,2
9032,9032,0.343643,2
9033,9033,0.343643,2
9034,9034,0.343643,2
9035,9035,0.344924,2
9036,9036,0.347487,2
9037,9037,0.348768,2
9038,9038,0.346205,2
9039,9039,0.342362,2
9040,9040,0.342362,2
9041,9041,0.339799,2
9042,9042,0.34108,2
9043,9043,0.342362,2
9044,9044,0.34108,2
9045,9045,0.34108,2
9046,9046,0.339799,2
9047,9047,0.34108,2
9048,9048,0.339799,2
9049,9049,0.34108,2
9050,9050,0.34108,2
9051,9051,0.34108,2
9052,9052,0.34108,2
9053,9053,0.342362,2
9054,9054,0.342362,2
9055,9055,0.34108,2
9056,9056,0.34108,2
9057,9057,0.34108,2
9058,9058,0.34108,2
9059,9059,0.342362,2
9060,9060,0.34108,2
9061,9061,0.342362,2
9062,9062,0.343643,2
9063,9063,0.342362,2
9064,9064,0.342362,2
9065,9065,0.342362,2
9066,9066,0.343643,2
9067,9067,0.343643,2
9068,9068,0.342362,2
9069,9069,0.342362,2
9070,9070,0.343643,2
9071,9071,0.344924,2
9072,9072,0.348768,2
9073,9073,0.35133,2
9074,9074,0.350049,2
9075,9075,0.353893,2
9076,9076,0.355174,2
9077,9077,0.353893,2
9078,9078,0.356455,2
9079,9079,0.356455,2
9080,9080,0.357737,2
9081,9081,0.357737,2
9082,9082,0.36158,2
9083,9083,0.36158,2
9084,9084,0.36158,2
9085,9085,0.348768,2
9086,9086,0.348768,2
9087,9087,0.348768,2
9088,9088,0.350049,2
9089,9089,0.352612,2
9090,9090,0.35133,2
9091,9091,0.35133,2
9092,9092,0.350049,2
9093,9093,0.343643,2
9094,9094,0.353893,2
9095,9095,0.353893,2
9096,9096,0.353893,2
9097,9097,0.353893,2
9098,9098,0.352612,2
9099,9099,0.362862,2
9100,9100,0.36158,2
9101,9101,0.323143,2
9102,9102,0.321862,2
9103,9103,0.323143,2
9104,9104,0.353893,2
9105,9105,0.356455,2
9106,9106,0.356455,2
9107,9107,0.357737,2
9108,9108,0.356455,2
9109,9109,0.357737,2
9110,9110,0.36158,2
9111,9111,0.360299,2
9112,9112,0.36158,2
9113,9113,0.36158,2
9114,9114,0.362862,2
9115,9115,0.36158,2
9116,9116,0.360299,2
9117,9117,0.36158,2
9118,9118,0.357737,2
9119,9119,0.356455,2
9120,9120,0.356455,2
9121,9121,0.356455,2
9122,9122,0.356455,2
9123,9123,0.356455,2
9124,9124,0.347487,2
9125,9125,0.342362,2
9126,9126,0.338518,2
9127,9127,0.355174,2
9128,9128,0.360299,2
9129,9129,0.364143,2
9130,9130,0.369268,2
9131,9131,0.373112,2
9132,9132,0.374393,2
9133,9133,0.375674,2
9134,9134,0.362862,2
9135,9135,0.357737,2
9136,9136,0.360299,2
9137,9137,0.353893,2
9138,9138,0.365424,2
9139,9139,0.407706,2
9140,9140,0.419237,2
9141,9141,0.416674,2
9142,9142,0.384643,2
9143,9143,0.388487,2
9144,9144,0.385924,2
9145,9145,0.388487,2
9146,9146,0.396174,2
9147,9147,0.398737,2
9148,9148,0.400018,2
9149,9149,0.398737,2
9150,9150,0.398737,2
9151,9151,0.401299,2
9152,9152,0.407706,2
9153,9153,0.407706,2
9154,9154,0.408987,2
9155,9155,0.406424,2
9156,9156,0.406424,2
9157,9157,0.406424,2
9158,9158,0.407706,2
9159,9159,0.406424,2
9160,9160,0.402581,2
9161,9161,0.398737,2
9162,9162,0.415393,2
9163,9163,0.426924,2
9164,9164,0.423081,2
9165,9165,0.428206,2
9166,9166,0.437174,2
9167,9167,0.443581,2
9168,9168,0.443581,2
9169,9169,0.437174,2
9170,9170,0.438456,2
9171,9171,0.441018,2
9172,9172,0.439737,2
9173,9173,0.437174,2
9174,9174,0.438456,2
9175,9175,0.434612,2
9176,9176,0.432049,2
9177,9177,0.432049,2
9178,9178,0.430768,2
9179,9179,0.432049,2
9180,9180,0.429487,2
9181,9181,0.433331,2
9182,9182,0.434612,2
9183,9183,0.441018,2
9184,9184,0.444862,2
9185,9185,0.446143,2
9186,9186,0.444862,2
9187,9187,0.443581,2
9188,9188,0.443581,2
9189,9189,0.442299,2
9190,9190,0.442299,2
9191,9191,0.441018,2
9192,9192,0.432049,2
9193,9193,0.426924,2
9194,9194,0.423081,2
9195,9195,0.423081,2
9196,9196,0.424362,2
9197,9197,0.423081,2
9198,9198,0.421799,2
9199,9199,0.421799,2
9200,9200,0.421799,2
9201,9201,0.424362,2
9202,9202,0.424362,2
9203,9203,0.424362,2
9204,9204,0.424362,2
9205,9205,0.423081,2
9206,9206,0.423081,2
9207,9207,0.424362,2
9208,9208,0.426924,2
9209,9209,0.428206,2
9210,9210,0.433331,2
9211,9211,0.439737,2
9212,9212,0.443581,2
9213,9213,0.447425,2
9214,9214,0.448706,2
9215,9215,0.443581,2
9216,9216,0.442299,2
9217,9217,0.444862,2
9218,9218,0.446143,2
9219,9219,0.457675,2
9220,9220,0.460237,2
9221,9221,0.469206,2
9222,9222,0.469206,2
9223,9223,0.466643,2
9224,9224,0.464081,2
9225,9225,0.474331,2
9226,9226,0.480737,2
9227,9227,0.49355,2
9228,9228,0.5038,2
9229,9229,0.51405,2
9230,9230,0.525581,2
9231,9231,0.537112,2
9232,9232,0.538394,2
9233,9233,0.528144,2
9234,9234,0.531987,2
9235,9235,0.529425,2
9236,9236,0.529425,2
9237,9237,0.526862,2
9238,9238,0.525581,2
9239,9239,0.525581,2
9240,9240,0.5243,2
9241,9241,0.5243,2
9242,9242,0.523018,2
9243,9243,0.521737,2
9244,9244,0.519175,2
9245,9245,0.515331,2
9246,9246,0.516612,2
9247,9247,0.512768,2
9248,9248,0.510206,2
9249,9249,0.507643,2
9250,9250,0.506362,2
9251,9251,0.507643,2
9252,9252,0.506362,2
9253,9253,0.505081,2
9254,9254,0.502518,2
9255,9255,0.5038,2
9256,9256,0.5038,2
9257,9257,0.505081,2
9258,9258,0.505081,2
9259,9259,0.523018,2
9260,9260,0.525581,2
9261,9261,0.523018,2
9262,9262,0.521737,2
9263,9263,0.521737,2
9264,9264,0.521737,2
9265,9265,0.519175,2
9266,9266,0.517893,2
9267,9267,0.526862,2
9268,9268,0.5038,2
9269,9269,0.515331,2
9270,9270,0.512768,2
9271,9271,0.510206,2
9272,9272,0.515331,2
9273,9273,0.498675,2
9274,9274,0.521737,2
9275,9275,0.512768,2
9276,9276,0.521737,2
9277,9277,0.533269,2
9278,9278,0.543519,2
9279,9279,0.549925,2
9280,9280,0.558894,2
9281,9281,0.569144,2
9282,9282,0.576831,2
9283,9283,0.583237,2
9284,9284,0.584519,2
9285,9285,0.605019,2
9286,9286,0.603737,2
9287,9287,0.605019,2
9288,9288,0.603737,2
9289,9289,0.601175,2
9290,9290,0.602456,2
9291,9291,0.599894,2
