,index,y,lables
22203,22203,2.302212,3
22204,22204,2.298375,3
22205,22205,2.291981,3
22206,22206,2.291981,3
22207,22207,2.285586,3
22208,22208,2.283028,3
22209,22209,2.28047,3
22210,22210,2.275354,3
22211,22211,2.276633,3
22212,22212,2.275354,3
22213,22213,2.277912,3
22214,22214,2.277912,3
22215,22215,2.288144,3
22216,22216,2.28047,3
22217,22217,2.289423,3
22218,22218,2.284307,3
22219,22219,2.285586,3
22220,22220,2.277912,3
22221,22221,2.275354,3
22222,22222,2.270238,3
22223,22223,2.267681,3
22224,22224,2.261286,3
22225,22225,2.261286,3
22226,22226,2.254891,3
22227,22227,2.252333,3
22228,22228,2.24466,3
22229,22229,2.240823,3
22230,22230,2.239544,3
22231,22231,2.243381,3
22232,22232,2.23187,3
22233,22233,2.230591,3
22234,22234,2.229312,3
22235,22235,2.239544,3
22236,22236,2.248496,3
22237,22237,2.252333,3
22238,22238,2.25617,3
22239,22239,2.257449,3
22240,22240,2.258728,3
22241,22241,2.265123,3
22242,22242,2.270238,3
22243,22243,2.272796,3
22244,22244,2.276633,3
22245,22245,2.279191,3
22246,22246,2.285586,3
22247,22247,2.298375,3
22248,22248,2.323954,3
22249,22249,2.354649,3
22250,22250,2.384064,3
22251,22251,2.407085,3
22252,22252,2.460801,3
22253,22253,2.488938,3
22254,22254,2.48638,3
22255,22255,2.47359,3
22256,22256,2.46208,3
22257,22257,2.454406,3
22258,22258,2.444175,3
22259,22259,2.433943,3
22260,22260,2.422433,3
22261,22261,2.414759,3
22262,22262,2.400691,3
22263,22263,2.40197,3
22264,22264,2.390459,3
22265,22265,2.384064,3
22266,22266,2.372554,3
22267,22267,2.369996,3
22268,22268,2.366159,3
22269,22269,2.357207,3
22270,22270,2.349533,3
22271,22271,2.343138,3
22272,22272,2.335464,3
22273,22273,2.326512,3
22274,22274,2.323954,3
22275,22275,2.317559,3
22276,22276,2.312443,3
22277,22277,2.306049,3
22278,22278,2.299654,3
22279,22279,2.297096,3
22280,22280,2.290702,3
22281,22281,2.286865,3
22282,22282,2.281749,3
22283,22283,2.277912,3
22284,22284,2.271517,3
22285,22285,2.26896,3
22286,22286,2.263844,3
22287,22287,2.261286,3
22288,22288,2.257449,3
22289,22289,2.245939,3
22290,22290,2.251054,3
22291,22291,2.239544,3
22292,22292,2.243381,3
22293,22293,2.233149,3
22294,22294,2.235707,3
22295,22295,2.224196,3
22296,22296,2.22036,3
22297,22297,2.221639,3
22298,22298,2.221639,3
22299,22299,2.219081,3
22300,22300,2.217802,3
22301,22301,2.213965,3
22302,22302,2.212686,3
22303,22303,2.211407,3
22304,22304,2.206291,3
22305,22305,2.202454,3
22306,22306,2.197339,3
22307,22307,2.197339,3
22308,22308,2.193502,3
22309,22309,2.192223,3
22310,22310,2.190944,3
22311,22311,2.192223,3
22312,22312,2.190944,3
22313,22313,2.187107,3
22314,22314,2.187107,3
22315,22315,2.18327,3
22316,22316,2.184549,3
22317,22317,2.178154,3
22318,22318,2.179433,3
22319,22319,2.174318,3
22320,22320,2.17176,3
22321,22321,2.169202,3
22322,22322,2.166644,3
22323,22323,2.165365,3
22324,22324,2.162807,3
22325,22325,2.161528,3
22326,22326,2.15897,3
22327,22327,2.153855,3
22328,22328,2.150018,3
22329,22329,2.14746,3
22330,22330,2.144902,3
22331,22331,2.142344,3
22332,22332,2.142344,3
22333,22333,2.137228,3
22334,22334,2.138507,3
22335,22335,2.13467,3
22336,22336,2.132113,3
22337,22337,2.128276,3
22338,22338,2.126997,3
